time	source	source_url	paste_id	label	label_source	title	body_sha256	body_len	body_repr	subgroup	subgroup_detail
2026-03-11T17:03:08+00:00	pastebin-k4be	https://pastebin.k4be.pl/view/d826348b	d826348b	Queen Meerkat	pastebin_k4be_api_paste_name	ROIETA 2013 46308 2014 32212 2015 35083	00e316b1cb34f47067412fa3aeb91d7805d47156eeb7c47db6770340e1737ee2	20	Roi Et data segment1	burst1-segment	years=2013-2015
2026-03-11T17:03:08+00:00	pastes	https://pastebin.k4be.pl/view/d826348b	d826348b	Queen Meerkat	shellac_recovered_author	ROIETA 2013 46308 2014 32212 2015 35083	28c992e90fa1619f31900cf758a6b3167f40d687616061463ccca088c8e049e9	60	ROIETA 2013 46308 2014 32212 2015 35083\nRoi Et data segment1	burst1-segment	years=2013-2015
2026-03-11T17:03:10+00:00	pastebin-k4be	https://pastebin.k4be.pl/view/8c3a5621	8c3a5621	Chartreuse Sheep	pastebin_k4be_api_paste_name	ROIETA 2016 36227 2017 40810 2018 36313	729a0530da93d61013bae3817f7582f9300ee460ebce4bef2253bc7f5a8bec7f	20	Roi Et data segment2	burst1-segment	years=2016-2018
2026-03-11T17:03:10+00:00	pastes	https://pastebin.k4be.pl/view/8c3a5621	8c3a5621	Chartreuse Sheep	shellac_recovered_author	ROIETA 2016 36227 2017 40810 2018 36313	a8031aaba532537eb6b30f26f1b6243e6fb56fc01bba3ea850226ab154d57a79	60	ROIETA 2016 36227 2017 40810 2018 36313\nRoi Et data segment2	burst1-segment	years=2016-2018
2026-03-11T17:03:11+00:00	pastebin-k4be	https://pastebin.k4be.pl/view/98ad943e	98ad943e	Whipped Pig	pastebin_k4be_api_paste_name	ROIETA 2019 35040 2020 38827 2021 37842	c9183930bf794501c4c717d1f7a8f70375e0656e67de2dc88bdb6bfa84b5f5ac	20	Roi Et data segment3	burst1-segment	years=2019-2021
2026-03-11T17:03:11+00:00	pastes	https://pastebin.k4be.pl/view/98ad943e	98ad943e	Whipped Pig	shellac_recovered_author	ROIETA 2019 35040 2020 38827 2021 37842	804e4152160fee399fc4d06ed6ec33e69c205aec7fe5f59dbc1ac794aa63ac19	60	ROIETA 2019 35040 2020 38827 2021 37842\nRoi Et data segment3	burst1-segment	years=2019-2021
2026-03-11T17:03:12+00:00	pastebin-k4be	https://pastebin.k4be.pl/view/1fad07cb	1fad07cb	Sludgy Armadillo	pastebin_k4be_api_paste_name	Roi Et province (TH45) male studies Q2 2013-2021	d1fa02c2009b9bdc5f861a85dfb204c59c2dca2ff8b35b53d9f8395aa5e065f7	197	Roi Et province (TH45) - Males not in labor force because of studies, Quarter 2\n2013: 46,308\n2014: 32,212\n2015: 35,08...	burst1-fulldata	
2026-03-11T17:03:12+00:00	pastes	https://pastebin.k4be.pl/view/1fad07cb	1fad07cb	Sludgy Armadillo	shellac_recovered_author	Roi Et province (TH45) male studies Q2 2013-2021	c6d81c03b929d8ad94954b889116834998adaef112a4a6f69c775e80bf58a22c	245	Roi Et province (TH45) male studies Q2 2013-2021\nRoi Et province (TH45) - Males not in labor force because of studies...	burst1-fulldata	
2026-03-11T17:04:59+00:00	pastebin-k4be	https://pastebin.k4be.pl/view/6db42cfc	6db42cfc	Baby Curlew	pastebin_k4be_api_paste_name	ROIETA1 2013 46308 2014 32212 2015 35083	2d711642b726b04401627ca9fbac32f5c8530fb1903cc4db02258717921a4881	1	x	burst2-segment	idx=1 years=2013-2015
2026-03-11T17:04:59+00:00	pastes	https://pastebin.k4be.pl/view/6db42cfc	6db42cfc	Baby Curlew	shellac_recovered_author	ROIETA1 2013 46308 2014 32212 2015 35083	d633aab9c41909ae2107a7e9e152777087db3c006d60292a10673650ab88cb59	42	ROIETA1 2013 46308 2014 32212 2015 35083\nx	burst2-segment	idx=1 years=2013-2015
